,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
137,2014,aaron gordon,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,173,337,0.513,16,45,0.356,3.4,1.8,47.1,Fr,2.86228,115.064,99.6,83.3035,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,2.35011,0.6919,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,42.77
160,2016,aaron holiday,94.5,20.4,46.2,50.03,2.0,7.8,21.1,24.8,75,196,0.383,39,93,0.419,0.8,2.5,30.4,Fr,1.23495,99.2945,89.4,100.412,31.6562,-0.725836,1.40555,0.5938,2.4062,3.0,3.9688,1.4062,0.25,10.3438,5.10103,0.4789,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,32.62
299,2012,abdel nader,78.5,31.2,38.1,41.91,4.0,17.4,12.6,23.8,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,0.11054,87.0027,51.6,106.773,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1.0,0.6667,0.7333,10.3333,9.83555,0.4776,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.46
1024,2010,alec burks,117.0,26.8,56.7,62.49,8.5,11.9,13.5,14.0,144,250,0.576,19,54,0.352,1.5,2.2,59.9,Fr,5.0314,133.419,61.4,103.123,30.5357,6.88621,-0.745175,2.0,3.0,5.0,1.75,1.1786,0.4286,17.4286,3.62556,0.6438,107.773,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,37.54
1127,2013,alex caruso,87.7,20.4,41.3,45.13,3.9,12.4,27.9,29.2,49,117,0.419,13,49,0.265,2.3,4.9,45.2,Fr,0.504046,91.2602,83.2,90.3475,24.697,-1.46725,4.4019,0.7576,2.4848,3.2424,3.3939,1.8485,0.4545,5.5152,3.88495,0.5556,92.3065,2.97941,174.148,4.36197,-0.0689906,4.43096,2.93465,60.17
1459,2011,allen crabbe,112.6,18.3,54.5,58.2,2.4,15.9,12.2,14.0,77,157,0.49,62,155,0.4,1.5,1.6,29.5,Fr,3.26936,114.666,87.0,97.003,33.8387,4.55669,1.3861,0.6452,4.6774,5.3226,1.9677,0.9355,0.4516,13.3548,8.58841,0.7692,103.271,3.44425,193.591,5.91986,4.14199,1.77788,5.94279,28.9
1803,2012,andre drummond,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,157,290,0.541,0,2,0.0,9.9,1.8,30.1,Fr,2.01686,106.362,83.4,90.5331,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,0.127848,0.7027,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66
1870,2011,andre roberson,117.2,16.5,60.5,60.21,15.3,25.1,7.1,18.9,83,133,0.624,12,34,0.353,5.0,3.4,44.9,Fr,2.15498,114.568,69.6,92.0069,22.1622,3.07891,1.90349,2.7838,4.9189,7.7027,0.8919,1.2973,1.0811,6.5946,2.40767,0.6964,95.2651,2.65851,211.866,8.41442,4.37194,4.04248,4.9824,55.03
2115,2014,andrew wiggins,112.3,25.1,49.9,56.34,8.4,12.3,9.2,15.9,146,296,0.493,43,126,0.341,3.1,2.1,53.8,Fr,4.24085,125.836,100.0,94.4649,32.8,5.14855,1.8287,2.1714,3.6857,5.8571,1.5429,1.1714,0.9714,17.0571,6.31169,0.697,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,42.88
2241,2013,anthony bennett,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,156,271,0.576,36,94,0.383,4.3,1.5,46.0,Fr,3.70621,124.606,99.0,85.8106,27.2353,5.93445,2.25506,2.3824,5.5882,7.9706,0.9118,0.7059,1.1765,15.7941,5.8596,0.7143,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,6.64
